macaddress;datetime;cpu;ram;disco;uptime;bytes_enviados;bytes_recebidos;pacotes_perdidos
80160640191877;2025-11-19 14:26:39.566886;11.9;76.8;26.6;249071.567776;4357.417511940002;5571.094167709351;4973
80160640191877;2025-11-19 14:27:39.606775;8.9;76.8;26.6;249131.607168;4357.817600250244;5572.0468463897705;4973
80160640191877;2025-11-19 14:28:39.636279;6.1;76.2;26.6;249191.636834;4358.219929695129;5572.375432014465;4973
80160640191877;2025-11-19 14:29:39.669087;11.6;76.5;26.6;249251.669914;4358.724680900574;5572.821140289307;4973
80160640191877;2025-11-19 14:30:39.710930;7.3;77.0;26.6;249311.711699;4359.580917358398;5573.543875694275;4981
80160640191877;2025-11-19 14:31:39.749882;2.3;76.9;26.6;249371.750799;4360.017330169678;5573.920831680298;4981
80160640191877;2025-11-19 14:32:39.790041;1.7;76.4;26.6;249431.790882;4360.489295959473;5574.2314348220825;4981
80160640191877;2025-11-19 14:33:39.826404;8.3;76.7;26.6;249491.826784;4360.948589324951;5574.6316566467285;4981
80160640191877;2025-11-19 14:34:39.863207;6.5;76.5;26.6;249551.864035;4361.448638916016;5575.917820930481;4981
80160640191877;2025-11-19 14:35:39.903461;6.5;77.1;26.6;249611.904424;4361.787625312805;5576.315992355347;4981
80160640191877;2025-11-19 14:36:39.942162;11.5;78.0;26.6;249671.942987;4362.392919540405;5576.736771583557;4981
80160640191877;2025-11-19 14:37:39.978607;2.3;77.1;26.6;249731.979479;4362.73739528656;5577.075054168701;4981
80160640191877;2025-11-19 14:38:40.018481;4.1;76.9;26.6;249792.019395;4363.226029396057;5577.396945953369;4981
80160640191877;2025-11-19 14:39:40.053531;2.4;77.2;26.6;249852.054421;4365.996071815491;5580.161355018616;4981
80160640191877;2025-11-19 14:40:40.084621;8.6;77.9;26.6;249912.085483;4420.826044082642;5634.9911460876465;4981
80160640191877;2025-11-19 14:41:40.126050;3.0;78.3;26.6;249972.126851;4426.043378829956;5640.20925617218;4981
80160640191877;2025-11-19 14:42:40.165512;6.6;77.6;26.6;250032.166354;4444.799641609192;5658.849480628967;5013
80160640191877;2025-11-19 14:43:40.205155;6.1;77.6;26.6;250092.205851;4445.630803108215;5660.020148277283;5021
80160640191877;2025-11-19 14:44:40.241842;10.5;77.0;26.6;250152.24284;4446.449024200439;5663.339950561523;5026
80160640191877;2025-11-19 14:45:40.285946;3.9;76.4;26.6;250212.286842;4446.817928314209;5663.959966659546;5033
80160640191877;2025-11-19 14:46:40.316941;11.9;77.6;26.6;250272.317507;4451.656897544861;5668.5596351623535;5035
80160640191877;2025-11-19 14:47:40.364729;5.5;77.7;26.6;250332.365654;4452.682143211365;5669.232855796814;5039
80160640191877;2025-11-19 14:48:40.404130;9.0;76.4;26.6;250392.404609;4453.486760139465;5670.255751609802;5044
80160640191877;2025-11-19 14:49:40.436988;3.8;75.9;26.6;250452.437414;4453.895858764648;5671.6837911605835;5050
80160640191877;2025-11-19 14:50:40.468213;3.5;76.4;26.6;250512.469183;4454.4002685546875;5672.2844524383545;5056
80160640191877;2025-11-19 14:51:40.508162;2.0;75.8;26.6;250572.508973;4454.724489212036;5672.84797668457;5061
80160640191877;2025-11-19 14:52:40.539387;4.4;74.3;26.6;250632.540292;4455.233105659485;5673.666751861572;5072
80160640191877;2025-11-19 14:53:40.577130;6.8;73.4;26.6;250692.577994;4470.06219291687;5688.6793384552;5075
80160640191877;2025-11-19 14:54:40.616921;5.7;73.9;26.6;250752.617752;4480.582973480225;5699.267627716064;5080
80160640191877;2025-11-19 14:55:40.653578;1.9;74.3;26.6;250812.654469;4480.914715766907;5699.925336837769;5089
80160640191877;2025-11-19 14:56:40.683799;4.5;73.8;26.6;250872.684685;4483.8483057022095;5703.128499031067;5094
80160640191877;2025-11-19 14:57:40.714639;8.3;73.9;26.6;250932.715511;4484.197934150696;5703.77739238739;5104
80160640191877;2025-11-19 14:58:40.753678;14.9;74.7;26.6;250992.754394;4499.416335105896;5719.133777618408;5112
80160640191877;2025-11-19 14:59:40.793249;8.6;74.0;26.6;251052.793962;4499.75208568573;5719.709736824036;5125
80160640191877;2025-11-19 15:00:40.832578;8.2;75.1;26.6;251112.833427;4502.7916049957275;5724.367241859436;5129
80160640191877;2025-11-19 15:01:40.870160;5.7;74.0;26.6;251172.870599;4503.227956771851;5725.317918777466;5135
80160640191877;2025-11-19 15:02:40.907717;8.5;74.0;26.6;251232.908103;4503.783586502075;5725.977446556091;5146
80160640191877;2025-11-19 20:12:45.628879;6.2;74.5;26.6;269837.629671;4504.122720718384;5726.351807594299;5171
80160640191877;2025-11-19 20:13:45.672910;2.9;73.3;26.6;269897.673829;4504.281005859375;5726.539794921875;5171
80160640191877;2025-11-19 20:14:45.708330;2.2;72.6;26.6;269957.709154;4504.351616859436;5726.63140296936;5175
80160640191877;2025-11-19 20:15:45.745861;1.7;73.0;26.6;270017.7467;4504.461408615112;5726.7609004974365;5175
80160640191877;2025-11-19 20:16:45.789404;2.6;72.9;26.6;270077.790462;4504.565311431885;5726.886798858643;5179
80160640191877;2025-11-19 20:17:45.839705;6.3;73.1;26.6;270137.840603;4516.090140342712;5738.437996864319;5179
80160640191877;2025-11-19 20:18:45.869495;4.1;73.5;26.6;270197.870333;4521.077459335327;5743.449911117554;5183
80160640191877;2025-11-19 20:19:45.899928;7.7;73.7;26.6;270257.900745;4525.157959938049;5747.552659034729;5183
80160640191877;2025-11-19 20:20:45.929863;6.1;74.2;26.6;270317.930957;4534.107831954956;5756.527832984924;5187
80160640191877;2025-11-19 20:21:45.973097;8.1;73.9;26.6;270377.973457;4536.284403800964;5758.728134155273;5187
